label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
0,0.519201934337616,0.08058296144008636,-0.3594382107257843,0.9999745488166809,0.5672603249549866,0.19641023874282837,-0.10911138355731964,0.9997665286064148,0.46225661039352417,0.19590939581394196,-0.09378611296415329,0.9998971223831177,0.5983316898345947,0.32986971735954285,-0.2669118344783783,0.9794157147407532,0.43639010190963745,0.3324896991252899,-0.2546085715293884,0.970615804195404,0.5425576567649841,0.2747921049594879,-0.5353853106498718,0.9639023542404175,0.49538296461105347,0.2763802707195282,-0.5253292322158813,0.9697697758674622,0.5551103353500366,0.48138660192489624,-0.0203824732452631,0.9998214840888977,0.4861599802970886,0.48609545826911926,0.020424088463187218,0.9998959302902222,0.5969069600105286,0.664017915725708,-0.2245323359966278,0.9906314611434937,0.4475681483745575,0.6846988201141357,0.034722473472356796,0.9911056756973267,0.6109263300895691,0.8820509314537048,-0.1287192851305008,0.9901872873306274,0.435788094997406,0.8857784271240234,0.22654028236865997,0.9951422810554504,0.6022624373435974,0.9151713252067566,-0.12915387749671936,0.9047614932060242,0.4434836208820343,0.9186983108520508,0.23644061386585236,0.9328240156173706,0.6454974412918091,0.9451935291290283,-0.2971363365650177,0.9825342893600464,0.38911035656929016,0.9386446475982666,0.09610762447118759,0.987210214138031
0,0.5200623273849487,0.10190892964601517,-0.34498491883277893,0.9999732971191406,0.5695524215698242,0.22381606698036194,-0.09233483672142029,0.9997519850730896,0.46249330043792725,0.22135502099990845,-0.09758977591991425,0.9998931288719177,0.5985448956489563,0.36057573556900024,-0.24706128239631653,0.9789345860481262,0.4362475574016571,0.36120906472206116,-0.25167447328567505,0.972223699092865,0.5442474484443665,0.3067972958087921,-0.5218214392662048,0.961875855922699,0.4973261058330536,0.31261250376701355,-0.5057022571563721,0.9702023863792419,0.5555564165115356,0.5099037289619446,-0.012467161752283573,0.9998143911361694,0.4857970178127289,0.5121923089027405,0.012427656911313534,0.9998875856399536,0.6031514406204224,0.6707375645637512,-0.2770530879497528,0.9908611178398132,0.44218018651008606,0.6894460916519165,-0.18264140188694,0.9915072321891785,0.6111353039741516,0.8818453550338745,-0.11180701106786728,0.9902738332748413,0.435273677110672,0.8895410895347595,0.024699542671442032,0.9950651526451111,0.6021391153335571,0.9144935607910156,-0.10517774522304535,0.9093025922775269,0.443824827671051,0.919760525226593,0.03600480780005455,0.9351745843887329,0.6434502005577087,0.9419109225273132,-0.26964685320854187,0.9823272824287415,0.3893875777721405,0.9448721408843994,-0.1150997057557106,0.9868941307067871
0,0.520973801612854,0.1375519186258316,-0.3348514437675476,0.9999650120735168,0.5722706317901611,0.2549881935119629,-0.08809063583612442,0.9997144341468811,0.46312981843948364,0.25424617528915405,-0.10288851708173752,0.9998847246170044,0.599416971206665,0.38917818665504456,-0.24301987886428833,0.9787143468856812,0.43651607632637024,0.39553701877593994,-0.26021021604537964,0.9737148880958557,0.5450080037117004,0.3461831510066986,-0.5065245032310486,0.959674596786499,0.49734705686569214,0.3580736219882965,-0.5005996227264404,0.9696211218833923,0.5558516383171082,0.5398374199867249,-0.003375622211024165,0.9997768402099609,0.48580172657966614,0.5392969250679016,0.0034168963320553303,0.9998766779899597,0.609552264213562,0.6797738075256348,-0.2866160273551941,0.9910319447517395,0.4364713728427887,0.691347062587738,-0.30822283029556274,0.9921500086784363,0.6110643148422241,0.8819917440414429,-0.08187846094369888,0.9900866150856018,0.43456870317459106,0.8924511671066284,-0.0833374559879303,0.9952160120010376,0.6012344360351562,0.9142822027206421,-0.07147212326526642,0.9132617712020874,0.44382765889167786,0.9207948446273804,-0.06991657614707947,0.9386201500892639,0.6438213586807251,0.9418922066688538,-0.22919034957885742,0.9813742637634277,0.38943883776664734,0.9472582340240479,-0.22526519000530243,0.9870644807815552
0,0.5214399099349976,0.17128132283687592,-0.3139582872390747,0.9999545216560364,0.5734912753105164,0.2865913212299347,-0.0801805704832077,0.9996882081031799,0.4634454548358917,0.28694719076156616,-0.09129870682954788,0.9998723268508911,0.6014987826347351,0.41817405819892883,-0.23527498543262482,0.9788337349891663,0.4371643364429474,0.4292863607406616,-0.24644862115383148,0.9750450253486633,0.5453634858131409,0.38687244057655334,-0.4893704950809479,0.9574308395385742,0.497297465801239,0.3989052176475525,-0.4772367477416992,0.9695537090301514,0.5557464361190796,0.5678748488426208,-0.0036301612854003906,0.9997420907020569,0.4856184720993042,0.5663440823554993,0.0036912155337631702,0.9998605251312256,0.6119186878204346,0.6852689981460571,-0.2998453974723816,0.9909019470214844,0.43066659569740295,0.6956518888473511,-0.30243703722953796,0.9925442934036255,0.610174834728241,0.8828203678131104,-0.07642398029565811,0.9893184304237366,0.4320349395275116,0.8946186900138855,-0.06928413361310959,0.9950472116470337,0.598460853099823,0.9145534634590149,-0.0630141869187355,0.9147516489028931,0.44257012009620667,0.9220026731491089,-0.0540543869137764,0.9406155347824097,0.6434579491615295,0.9417776465415955,-0.21285606920719147,0.9792523980140686,0.3887629210948944,0.9485463500022888,-0.19901496171951294,0.986315131187439
0,0.5219141244888306,0.20874114334583282,-0.3111721873283386,0.9999517202377319,0.5744880437850952,0.3198392391204834,-0.0843062549829483,0.9996781349182129,0.4636059105396271,0.3222184181213379,-0.10264238715171814,0.9998670220375061,0.6035907864570618,0.4500356614589691,-0.23352092504501343,0.9788585305213928,0.4383867383003235,0.46742039918899536,-0.2547493875026703,0.9764273762702942,0.546285092830658,0.42524656653404236,-0.47188177704811096,0.9554361701011658,0.49760064482688904,0.4367345869541168,-0.4662027657032013,0.9698296189308167,0.5572453737258911,0.5985272526741028,-0.003224004991352558,0.9997172355651855,0.4861021041870117,0.5963705778121948,0.003307861741632223,0.9998546242713928,0.6158878803253174,0.6914015412330627,-0.3305390775203705,0.9907252192497253,0.4287034869194031,0.694722056388855,-0.3472355604171753,0.992958664894104,0.6101471781730652,0.8833791017532349,-0.08362174034118652,0.9884074926376343,0.4314101040363312,0.8957740068435669,-0.10149534791707993,0.9950252175331116,0.5981737375259399,0.9134502410888672,-0.06639280915260315,0.916645348072052,0.4426228404045105,0.922064483165741,-0.08366061747074127,0.9430453181266785,0.6429895162582397,0.9366117715835571,-0.20803731679916382,0.9776482582092285,0.3892587423324585,0.9496778845787048,-0.2250620275735855,0.9860835075378418
